codigo_carga;tipo_asignatura;codigo_asignatura;Asignatura;Seccion;Horario;Dias;inscritos_materia;parcial;fechaparcial;Fecha_Registro;asistencia;TipoExamen;Coordinacion_Catedra;Coordinador_Catedratico;Escuela;Facultad,
SEMI-H_01_02-2020;P;SEMI-H;SEMINARIO DE INVESTIGACION;1;08:00-09:30;Lu-Vie;18;1;24/8/2020;1/9/2020 09:54;17;Ordinario;COMUNICACIÓN ESPECIALIZADA;Aldo Valentín Maldonado Ortiz;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
TCOM-H_03_02-2020;P;TCOM-H;TEORIA DE LA COMUNICACIÓN;3;13:00-16:00;Sab;18;1;22/8/2020;28/8/2020 15:27;14;Ordinario;COMUNICACIÓN BÁSICA;Rosalina Rodríguez Rivera;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
COME-E_01_02-2020;P;COME-E;COMUNICACION EMPRESARIAL;1;06:30-08:00;Mie-Sab;89;1;26/8/2020;28/8/2020 15:27;87;Ordinario;COMUNICACIÓN BÁSICA;Rosalina Rodríguez Rivera;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
PDTV-H_02_02-2020;P;PDTV-H;PRODUCCION EN TELEVISION;2;18:40-20:10;Ma-Jue;44;1;25/8/2020;28/8/2020 15:28;45;Ordinario;COMUNICACIÓN ESPECIALIZADA;Aldo Valentín Maldonado Ortiz;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
EDPRO-H_02_02-2020;P;EDPRO-H;EDITORIAL Y PROPAGANDA;2;18:40-20:10;Ma;32;1;25/8/2020;28/8/2020 15:28;31;Ordinario;REDACCIÓN;Antonio Herrera Palacios;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
REP3-H_02_02-2020;P;REP3-H;RELACIONES PUBLICAS III;2;06:30-08:00;Mie-Sab;14;1;26/8/2020;28/8/2020 15:28;12;Ordinario;COMUNICACIÓN ESPECIALIZADA;Aldo Valentín Maldonado Ortiz;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
PSCC-H_02_02-2020;P;PSCC-H;PSICOLOGIA DE LA COMUNICACION;2;17:00-18:30;Lu-Mie;48;1;24/8/2020;28/8/2020 15:29;43;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
REP2-H_02_02-2020;P;REP2-H;RELACIONES PUBLICAS II;2;17:00-18:30;Ma-Jue;105;1;27/8/2020;28/8/2020 16:49;105;Ordinario;COMUNICACIÓN ESPECIALIZADA;Aldo Valentín Maldonado Ortiz;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
FOPU-H_03_02-2020;P;FOPU-H;FOTOGRAFIA PUBLICITARIA;3;17:00-18:30;Ma-Jue;24;1;27/8/2020;20/9/2020 15:08;23;Ordinario;FOTOGRAFÍA;Norman Noel Alas Trujillo;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
NECL-P_01_02-2020;P;NECL-P;NEUROPSICOLOGIA CLINICA;1;08:00-09:30;Ma-Jue;59;1;25/8/2020;28/8/2020 17:54;61;Ordinario;COMPETENCIAS BÁSICAS E INVESTIGACIÓN;Claudia Mercedes Membreño Chacón;Escuela de Psicología;Facultad de Ciencias Sociales,
NECL-P_02_02-2020;P;NECL-P;NEUROPSICOLOGIA CLINICA;2;13:00-16:00;Sab;72;1;22/8/2020;28/8/2020 17:55;70;Ordinario;COMPETENCIAS BÁSICAS E INVESTIGACIÓN;Claudia Mercedes Membreño Chacón;Escuela de Psicología;Facultad de Ciencias Sociales,
PSIS-H_03_02-2020;P;PSIS-H;PSICOLOGIA SOCIAL;3;17:00-18:30;Lu-Mie;76;1;24/8/2020;28/8/2020 17:56;77;Ordinario;COMPETENCIAS BÁSICAS E INVESTIGACIÓN;Claudia Mercedes Membreño Chacón;Escuela de Psicología;Facultad de Ciencias Sociales,
REA1-A_14_02-2020;P;REA1-A;REALIDAD NACIONAL;14;07:00-10:00;Dom;24;1;23/8/2020;28/8/2020 19:55;23;Ordinario;REALIDAD NACIONAL;Adilia Del Rosario Valenzuela De Rivas;Escuela de Antropología;Facultad de Ciencias Sociales,
PUB1-H_02_02-2020;P;PUB1-H;PUBLICIDAD I;2;17:00-20:00;Vie;69;1;28/8/2020;29/8/2020 18:11;68;Ordinario;COMUNICACIÓN ESPECIALIZADA;Aldo Valentín Maldonado Ortiz;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
FOTO-H_01_02-2020;P;FOTO-H;FOTOGRAFIA;1;06:30-08:00;Lu-Vie;59;1;28/8/2020;28/8/2020 21:44;56;Ordinario;FOTOGRAFÍA;Norman Noel Alas Trujillo;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
STCC-H_01_02-2020;P;STCC-H;SEMINARIO TALLER DE COMPETENCIAS;1;06:30-08:00;Lu-Vie;35;1;28/8/2020;29/8/2020 05:36;31;Ordinario;CASTELLANO;Morena Guadalupe Magaña De Hernández;Escuela de Idiomas;Facultad de Ciencias Sociales,
PDPE-H_01_02-2020;P;PDPE-H;PRODUCCION EN PRENSA ESCRITA ;1;06:30-08:00;Lu-Vie;52;1;28/8/2020;29/8/2020 06:35;53;Ordinario;REDACCIÓN;Antonio Herrera Palacios;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
REME-H_01_02-2020;P;REME-H;REDACCION PARA MEDIOS DE COMUNICACION;1;06:30-08:00;Lu-Vie;63;1;28/8/2020;26/9/2020 08:34;60;Ordinario;REDACCIÓN;Antonio Herrera Palacios;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
DEIN-H_13_02-2020;P;DEIN-H;DESARROLLO INDIVIDUAL;13;06:30-08:00;Lu-Vie;66;1;28/8/2020;29/8/2020 08:20;64;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
LOYA-H_01_02-2020;P;LOYA-H;LOGICAS CONCRETA Y ABSTRACTA                                               ;1;17:00-18:30;Lu;13;1;24/8/2020;29/8/2020 09:26;11;Ordinario;ANTROPOLOGÍA;Carlos Felipe Osegueda Osegueda;Escuela de Antropología;Facultad de Ciencias Sociales,
REA1-A_04_02-2020;P;REA1-A;REALIDAD NACIONAL;4;09:30-11:00;Lu-Vie;25;1;28/8/2020;29/8/2020 09:15;23;Ordinario;REALIDAD NACIONAL;Adilia Del Rosario Valenzuela De Rivas;Escuela de Antropología;Facultad de Ciencias Sociales,
REA1-A_06_02-2020;P;REA1-A;REALIDAD NACIONAL;6;14:30-16:00;Lu-Vie;25;1;28/8/2020;29/8/2020 09:15;23;Ordinario;REALIDAD NACIONAL;Adilia Del Rosario Valenzuela De Rivas;Escuela de Antropología;Facultad de Ciencias Sociales,
REA1-A_09_02-2020;P;REA1-A;REALIDAD NACIONAL;9;09:30-11:00;Ma-Jue;21;1;27/8/2020;29/8/2020 09:16;18;Ordinario;REALIDAD NACIONAL;Adilia Del Rosario Valenzuela De Rivas;Escuela de Antropología;Facultad de Ciencias Sociales,
EPRO-AC_13_02-2020;P;EPRO-AC;ETICA;13;07:00-10:00;Dom;119;1;23/8/2020;29/8/2020 10:01;116;Ordinario;FILOSOFÍA;Ruben Antonio Funez;Escuela de Antropología;Facultad de Ciencias Sociales,
DEIN-H_01_02-2020;P;DEIN-H;DESARROLLO INDIVIDUAL;1;06:30-08:00;Lu-Vie;69;1;28/8/2020;29/8/2020 09:20;65;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
SOCC-H_02_02-2020;P;SOCC-H;SOCIOLOGIA DE LA COMUNICACION;2;17:00-18:30;Ma-Jue;37;1;27/8/2020;29/8/2020 09:30;37;Ordinario;HISTORIA Y SOCIOLOGÍA;Julio Martínez;Escuela de Antropología;Facultad de Ciencias Sociales,
GEOP-C_01_02-2020;P;GEOP-C;GENEROS DE OPINION                                                         ;1;06:30-08:00;Lu-Vie;16;1;28/8/2020;29/8/2020 09:30;16;Ordinario;REDACCIÓN;Antonio Herrera Palacios;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
SEMI-H_03_02-2020;P;SEMI-H;SEMINARIO DE INVESTIGACION;3;13:00-16:00;Sab;48;1;22/8/2020;1/9/2020 09:54;46;Ordinario;COMUNICACIÓN ESPECIALIZADA;Aldo Valentín Maldonado Ortiz;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
ANIN-H_01_02-2020;P;ANIN-H;ANTROPOLOGIA ECONÓMICA;1;17:30-19:00;Jue;14;1;29/8/2020;24/9/2020 19:08;1;Diferido;ANTROPOLOGÍA;Carlos Felipe Osegueda Osegueda;Escuela de Antropología;Facultad de Ciencias Sociales,
TEME-C_04_02-2020;P;TEME-C;TECNOLOGIA PARA MEDIOS DE COMUNICACION;4;13:00-16:00;Sab;26;1;22/8/2020;29/8/2020 09:31;28;Ordinario;REDACCIÓN;Antonio Herrera Palacios;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
TEME-C_03_02-2020;P;TEME-C;TECNOLOGIA PARA MEDIOS DE COMUNICACION;3;18:40-20:10;Ma;18;1;25/8/2020;29/8/2020 09:31;14;Ordinario;REDACCIÓN;Antonio Herrera Palacios;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
TEME-C_02_02-2020;P;TEME-C;TECNOLOGIA PARA MEDIOS DE COMUNICACION;2;08:00-09:30;Ma-Jue;45;1;25/8/2020;29/8/2020 09:32;43;Ordinario;REDACCIÓN;Antonio Herrera Palacios;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
EPRO-AC_15_02-2020;P;EPRO-AC;ETICA;15;09:30-11:00;Ma-Jue;85;1;27/8/2020;29/8/2020 09:44;84;Ordinario;FILOSOFÍA;Ruben Antonio Funez;Escuela de Antropología;Facultad de Ciencias Sociales,
SEMI-H_03_02-2020;P;SEMI-H;SEMINARIO DE INVESTIGACION;3;13:00-16:00;Sab;48;1;29/8/2020;19/9/2020 09:02;1;Diferido;COMUNICACIÓN ESPECIALIZADA;Aldo Valentín Maldonado Ortiz;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
PSF1-H_01_02-2020;P;PSF1-H;PSICOFISIOLOGIA;1;06:30-08:00;Lu-Vie;36;1;28/8/2020;29/8/2020 10:13;37;Ordinario;COMPETENCIAS BÁSICAS E INVESTIGACIÓN;Claudia Mercedes Membreño Chacón;Escuela de Psicología;Facultad de Ciencias Sociales,
NEUP-H_01_02-2020;P;NEUP-H;NEURO PSICOLOGIA;1;08:00-09:30;Ma-Jue;71;1;25/8/2020;21/10/2020 07:53;71;Ordinario;COMPETENCIAS BÁSICAS E INVESTIGACIÓN;Claudia Mercedes Membreño Chacón;Escuela de Psicología;Facultad de Ciencias Sociales,
FILO-H_06_02-2020;P;FILO-H;FILOSOFIA;6;18:40-20:10;Ma-Jue;92;1;25/8/2020;29/8/2020 09:56;91;Ordinario;FILOSOFÍA;Ruben Antonio Funez;Escuela de Antropología;Facultad de Ciencias Sociales,
FILO-H_07_02-2020;P;FILO-H;FILOSOFIA;7;13:00-16:00;Sab;62;1;22/8/2020;29/8/2020 09:56;63;Ordinario;FILOSOFÍA;Ruben Antonio Funez;Escuela de Antropología;Facultad de Ciencias Sociales,
FILO-H_08_02-2020;P;FILO-H;FILOSOFIA;8;06:30-08:00;Ma-Jue;85;1;27/8/2020;29/8/2020 09:57;84;Ordinario;FILOSOFÍA;Ruben Antonio Funez;Escuela de Antropología;Facultad de Ciencias Sociales,
REA1-A_03_02-2020;P;REA1-A;REALIDAD NACIONAL;3;08:00-09:30;Ma-Jue;69;1;25/8/2020;23/9/2020 09:19;70;Ordinario;REALIDAD NACIONAL;Adilia Del Rosario Valenzuela De Rivas;Escuela de Antropología;Facultad de Ciencias Sociales,
EPRO-AC_02_02-2020;P;EPRO-AC;ETICA;2;06:30-08:00;Ma-Jue;107;1;27/8/2020;29/8/2020 10:44;104;Ordinario;FILOSOFÍA;Ruben Antonio Funez;Escuela de Antropología;Facultad de Ciencias Sociales,
EPRO-AC_04_02-2020;P;EPRO-AC;ETICA;4;08:00-09:30;Ma-Jue;84;1;25/8/2020;29/8/2020 10:48;76;Ordinario;FILOSOFÍA;Ruben Antonio Funez;Escuela de Antropología;Facultad de Ciencias Sociales,
RIEI-H_01_02-2020;P;RIEI-H;REP. INTERPRETATIVO E INVESTIGATIVO;1;06:30-08:00;Lu-Vie;40;1;28/8/2020;29/8/2020 11:08;39;Ordinario;REDACCIÓN;Antonio Herrera Palacios;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
HISTU-H_01_02-2020;P;HISTU-H;HISTORIA UNIVERSAL;1;16:00-19:00;Sab;89;1;22/8/2020;29/8/2020 11:09;88;Ordinario;HISTORIA Y SOCIOLOGÍA;Julio Martínez;Escuela de Antropología;Facultad de Ciencias Sociales,
ESEV-H_01_02-2020;P;ESEV-H;ESTRATEGIA DE EVALUACION                                                   ;1;17:00-20:00;Vie;67;1;28/8/2020;29/8/2020 11:23;64;Ordinario;ESPECIALIDADES;Mercedes Carolina Pinto Benítez;Escuela de Idiomas;Facultad de Ciencias Sociales,
DEIN-H_06_02-2020;P;DEIN-H;DESARROLLO INDIVIDUAL;6;17:00-18:30;Ma-Jue;90;1;27/8/2020;29/8/2020 14:43;81;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
DEIN-H_08_02-2020;P;DEIN-H;DESARROLLO INDIVIDUAL;8;17:00-20:00;Vie;65;1;28/8/2020;29/8/2020 19:45;55;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
PCIN-C_01_02-2020;P;PCIN-C;PLANEACION DE LA COMUNICACION INSTITUCIONAL;1;17:00-20:00;Vie;66;1;28/8/2020;29/8/2020 22:07;64;Ordinario;COMUNICACIÓN ESPECIALIZADA;Aldo Valentín Maldonado Ortiz;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
PSEM-H_05_02-2020;P;PSEM-H;PSICOLOGIA EMPRESARIAL;5;17:00-20:00;Vie;42;1;28/8/2020;31/8/2020 06:17;36;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
PSEM-H_01_02-2020;P;PSEM-H;PSICOLOGIA EMPRESARIAL;1;06:30-08:00;Lu-Vie;56;1;28/8/2020;31/8/2020 06:19;55;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
DEIN-H_14_02-2020;P;DEIN-H;DESARROLLO INDIVIDUAL;14;09:30-11:00;Lu-Vie;95;1;28/8/2020;31/8/2020 06:19;94;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
EPRO-AC_08_02-2020;P;EPRO-AC;ETICA;8;17:00-18:30;Lu-Mie;101;1;24/8/2020;31/8/2020 16:31;96;Ordinario;FILOSOFÍA;Ruben Antonio Funez;Escuela de Antropología;Facultad de Ciencias Sociales,
PSCC-H_03_02-2020;P;PSCC-H;PSICOLOGIA DE LA COMUNICACION;3;18:40-20:10;Lu-Mie;39;1;26/8/2020;31/8/2020 18:25;39;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
PDPE-H_02_02-2020;P;PDPE-H;PRODUCCION EN PRENSA ESCRITA ;2;17:00-18:30;Ma-Jue;95;1;27/8/2020;1/9/2020 14:49;88;Ordinario;REDACCIÓN;Antonio Herrera Palacios;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
INGC8-I_01_02-2020;P;INGC8-I;INGLES PARA COMUNICACIONES VIII ;1;06:30-08:00;Ma-Jue-Sab;21;1;27/8/2020;20/9/2020 09:33;20;Ordinario;INGLÉS;Armando García Díaz;Escuela de Idiomas;Facultad de Ciencias Sociales,
DEIN-H_02_02-2020;P;DEIN-H;DESARROLLO INDIVIDUAL;2;08:00-09:30;Ma-Jue;30;1;25/8/2020;2/9/2020 09:40;28;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
EPRO-AC_11_02-2020;P;EPRO-AC;ETICA;11;17:00-20:00;Vie;105;1;28/8/2020;2/9/2020 09:46;101;Ordinario;FILOSOFÍA;Ruben Antonio Funez;Escuela de Antropología;Facultad de Ciencias Sociales,
EPRO-AC_10_02-2020;P;EPRO-AC;ETICA;10;18:40-20:10;Ma-Jue;112;1;25/8/2020;2/9/2020 09:46;109;Ordinario;FILOSOFÍA;Ruben Antonio Funez;Escuela de Antropología;Facultad de Ciencias Sociales,
COME-E_02_02-2020;P;COME-E;COMUNICACION EMPRESARIAL;2;18:40-20:10;Lu-Mie;82;1;2/9/2020;2/9/2020 16:57;1;Diferido;COMUNICACIÓN BÁSICA;Rosalina Rodríguez Rivera;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
COME-E_02_02-2020;P;COME-E;COMUNICACION EMPRESARIAL;2;18:40-20:10;Lu-Mie;82;1;26/8/2020;2/9/2020 16:57;82;Ordinario;COMUNICACIÓN BÁSICA;Rosalina Rodríguez Rivera;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
DEIN-H_05_02-2020;P;DEIN-H;DESARROLLO INDIVIDUAL;5;18:40-20:10;Lu-Mie;94;1;26/8/2020;2/9/2020 18:28;93;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
PSD1-H_04_02-2020;P;PSD1-H;PSICOLOGIA DEL DESARROLLO I;4;09:30-11:00;Ma-Jue;75;1;27/8/2020;24/9/2020 17:53;71;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
PSD2-H_01_02-2020;P;PSD2-H;PSICOLOGIA DEL DESARROLLO II;1;08:00-09:30;Lu-Vie;35;1;24/8/2020;21/9/2020 20:19;33;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
EPRO-AC_14_02-2020;P;EPRO-AC;ETICA;14;08:00-09:30;Ma-Jue;73;1;25/8/2020;3/9/2020 09:36;70;Ordinario;FILOSOFÍA;Ruben Antonio Funez;Escuela de Antropología;Facultad de Ciencias Sociales,
CDCQ-H_01_02-2020;P;CDCQ-H;TECNICAS DE CONSERVACION;1;17:00-20:00;Lu;6;1;24/8/2020;3/9/2020 11:25;6;Ordinario;ANTROPOLOGÍA;Carlos Felipe Osegueda Osegueda;Escuela de Antropología;Facultad de Ciencias Sociales,
